fid,PSGC_CODE,REGION,PROVINCE,CITY/MUNICIPALITY,BARANGAY,OFFICE,PSGC
1,"1380100001",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,001_BARANGAY 1,801_NCR IV,"80100001"
2,"1380100002",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,002_BARANGAY 2,801_NCR IV,"80100002"
3,"1380100003",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,003_BARANGAY 3,801_NCR IV,"80100003"
4,"1380100004",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,004_BARANGAY 4,801_NCR IV,"80100004"
5,"1380100005",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,005_BARANGAY 5,801_NCR IV,"80100005"
6,"1380100006",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,006_BARANGAY 6,801_NCR IV,"80100006"
7,"1380100007",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,007_BARANGAY 7,801_NCR IV,"80100007"
8,"1380100008",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,008_BARANGAY 8,801_NCR IV,"80100008"
9,"1380100009",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,009_BARANGAY 9,801_NCR IV,"80100009"
10,"1380100010",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,010_BARANGAY 10,801_NCR IV,"80100010"
11,"1380100011",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,011_BARANGAY 11,801_NCR IV,"80100011"
12,"1380100012",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,012_BARANGAY 12,801_NCR IV,"80100012"
13,"1380100013",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,013_BARANGAY 13,801_NCR IV,"80100013"
14,"1380100014",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,014_BARANGAY 14,801_NCR IV,"80100014"
15,"1380100015",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,015_BARANGAY 15,801_NCR IV,"80100015"
16,"1380100016",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,016_BARANGAY 16,801_NCR IV,"80100016"
17,"1380100017",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,017_BARANGAY 17,801_NCR IV,"80100017"
18,"1380100018",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,018_BARANGAY 18,801_NCR IV,"80100018"
19,"1380100019",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,019_BARANGAY 19,801_NCR IV,"80100019"
20,"1380100020",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,020_BARANGAY 20,801_NCR IV,"80100020"
21,"1380100021",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,021_BARANGAY 21,801_NCR IV,"80100021"
22,"1380100022",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,022_BARANGAY 22,801_NCR IV,"80100022"
23,"1380100023",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,023_BARANGAY 23,801_NCR IV,"80100023"
24,"1380100024",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,024_BARANGAY 24,801_NCR IV,"80100024"
25,"1380100025",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,025_BARANGAY 25,801_NCR IV,"80100025"
26,"1380100026",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,026_BARANGAY 26,801_NCR IV,"80100026"
27,"1380100027",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,027_BARANGAY 27,801_NCR IV,"80100027"
28,"1380100028",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,028_BARANGAY 28,801_NCR IV,"80100028"
29,"1380100029",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,029_BARANGAY 29,801_NCR IV,"80100029"
30,"1380100030",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,030_BARANGAY 30,801_NCR IV,"80100030"
31,"1380100031",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,031_BARANGAY 31,801_NCR IV,"80100031"
32,"1380100032",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,032_BARANGAY 32,801_NCR IV,"80100032"
33,"1380100033",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,033_BARANGAY 33,801_NCR IV,"80100033"
34,"1380100034",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,034_BARANGAY 34,801_NCR IV,"80100034"
35,"1380100035",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,035_BARANGAY 35,801_NCR IV,"80100035"
36,"1380100036",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,036_BARANGAY 36,801_NCR IV,"80100036"
37,"1380100037",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,037_BARANGAY 37,801_NCR IV,"80100037"
38,"1380100038",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,038_BARANGAY 38,801_NCR IV,"80100038"
39,"1380100039",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,039_BARANGAY 39,801_NCR IV,"80100039"
40,"1380100040",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,040_BARANGAY 40,801_NCR IV,"80100040"
41,"1380100041",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,041_BARANGAY 41,801_NCR IV,"80100041"
42,"1380100042",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,042_BARANGAY 42,801_NCR IV,"80100042"
43,"1380100043",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,043_BARANGAY 43,801_NCR IV,"80100043"
44,"1380100044",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,044_BARANGAY 44,801_NCR IV,"80100044"
45,"1380100045",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,045_BARANGAY 45,801_NCR IV,"80100045"
46,"1380100046",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,046_BARANGAY 46,801_NCR IV,"80100046"
47,"1380100047",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,047_BARANGAY 47,801_NCR IV,"80100047"
48,"1380100048",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,048_BARANGAY 48,801_NCR IV,"80100048"
49,"1380100049",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,049_BARANGAY 49,801_NCR IV,"80100049"
50,"1380100050",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,050_BARANGAY 50,801_NCR IV,"80100050"
51,"1380100051",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,051_BARANGAY 51,801_NCR IV,"80100051"
52,"1380100052",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,052_BARANGAY 52,801_NCR IV,"80100052"
53,"1380100053",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,053_BARANGAY 53,801_NCR IV,"80100053"
54,"1380100054",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,054_BARANGAY 54,801_NCR IV,"80100054"
55,"1380100055",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,055_BARANGAY 55,801_NCR IV,"80100055"
56,"1380100056",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,056_BARANGAY 56,801_NCR IV,"80100056"
57,"1380100057",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,057_BARANGAY 57,801_NCR IV,"80100057"
58,"1380100058",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,058_BARANGAY 58,801_NCR IV,"80100058"
59,"1380100059",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,059_BARANGAY 59,801_NCR IV,"80100059"
60,"1380100060",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,060_BARANGAY 60,801_NCR IV,"80100060"
61,"1380100061",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,061_BARANGAY 61,801_NCR IV,"80100061"
62,"1380100062",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,062_BARANGAY 62,801_NCR IV,"80100062"
63,"1380100063",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,063_BARANGAY 63,801_NCR IV,"80100063"
64,"1380100064",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,064_BARANGAY 64,801_NCR IV,"80100064"
65,"1380100065",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,065_BARANGAY 65,801_NCR IV,"80100065"
66,"1380100066",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,066_BARANGAY 66,801_NCR IV,"80100066"
67,"1380100067",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,067_BARANGAY 67,801_NCR IV,"80100067"
68,"1380100068",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,068_BARANGAY 68,801_NCR IV,"80100068"
69,"1380100069",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,069_BARANGAY 69,801_NCR IV,"80100069"
70,"1380100070",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,070_BARANGAY 70,801_NCR IV,"80100070"
71,"1380100071",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,071_BARANGAY 71,801_NCR IV,"80100071"
72,"1380100072",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,072_BARANGAY 72,801_NCR IV,"80100072"
73,"1380100073",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,073_BARANGAY 73,801_NCR IV,"80100073"
74,"1380100074",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,074_BARANGAY 74,801_NCR IV,"80100074"
75,"1380100075",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,075_BARANGAY 75,801_NCR IV,"80100075"
76,"1380100076",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,076_BARANGAY 76,801_NCR IV,"80100076"
77,"1380100077",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,077_BARANGAY 77,801_NCR IV,"80100077"
78,"1380100078",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,078_BARANGAY 78,801_NCR IV,"80100078"
79,"1380100079",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,079_BARANGAY 79,801_NCR IV,"80100079"
80,"1380100080",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,080_BARANGAY 80,801_NCR IV,"80100080"
81,"1380100081",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,081_BARANGAY 81,801_NCR IV,"80100081"
82,"1380100082",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,082_BARANGAY 82,801_NCR IV,"80100082"
83,"1380100083",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,083_BARANGAY 83,801_NCR IV,"80100083"
84,"1380100084",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,084_BARANGAY 84,801_NCR IV,"80100084"
85,"1380100085",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,085_BARANGAY 85,801_NCR IV,"80100085"
86,"1380100086",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,086_BARANGAY 86,801_NCR IV,"80100086"
87,"1380100087",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,087_BARANGAY 87,801_NCR IV,"80100087"
88,"1380100088",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,088_BARANGAY 88,801_NCR IV,"80100088"
89,"1380100089",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,089_BARANGAY 89,801_NCR IV,"80100089"
90,"1380100090",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,090_BARANGAY 90,801_NCR IV,"80100090"
91,"1380100091",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,091_BARANGAY 91,801_NCR IV,"80100091"
92,"1380100092",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,092_BARANGAY 92,801_NCR IV,"80100092"
93,"1380100093",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,093_BARANGAY 93,801_NCR IV,"80100093"
94,"1380100094",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,094_BARANGAY 94,801_NCR IV,"80100094"
95,"1380100095",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,095_BARANGAY 95,801_NCR IV,"80100095"
96,"1380100096",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,096_BARANGAY 96,801_NCR IV,"80100096"
97,"1380100097",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,097_BARANGAY 97,801_NCR IV,"80100097"
98,"1380100098",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,098_BARANGAY 98,801_NCR IV,"80100098"
99,"1380100099",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,099_BARANGAY 99,801_NCR IV,"80100099"
100,"1380100100",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,100_BARANGAY 100,801_NCR IV,"80100100"
101,"1380100101",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,101_BARANGAY 101,801_NCR IV,"80100101"
102,"1380100102",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,102_BARANGAY 102,801_NCR IV,"80100102"
103,"1380100103",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,103_BARANGAY 103,801_NCR IV,"80100103"
104,"1380100104",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,104_BARANGAY 104,801_NCR IV,"80100104"
105,"1380100105",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,105_BARANGAY 105,801_NCR IV,"80100105"
106,"1380100106",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,106_BARANGAY 106,801_NCR IV,"80100106"
107,"1380100107",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,107_BARANGAY 107,801_NCR IV,"80100107"
108,"1380100108",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,108_BARANGAY 108,801_NCR IV,"80100108"
109,"1380100109",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,109_BARANGAY 109,801_NCR IV,"80100109"
110,"1380100110",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,110_BARANGAY 110,801_NCR IV,"80100110"
111,"1380100111",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,111_BARANGAY 111,801_NCR IV,"80100111"
112,"1380100112",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,112_BARANGAY 112,801_NCR IV,"80100112"
113,"1380100113",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,113_BARANGAY 113,801_NCR IV,"80100113"
114,"1380100114",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,114_BARANGAY 114,801_NCR IV,"80100114"
115,"1380100115",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,115_BARANGAY 115,801_NCR IV,"80100115"
116,"1380100116",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,116_BARANGAY 116,801_NCR IV,"80100116"
117,"1380100117",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,117_BARANGAY 117,801_NCR IV,"80100117"
118,"1380100118",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,118_BARANGAY 118,801_NCR IV,"80100118"
119,"1380100119",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,119_BARANGAY 119,801_NCR IV,"80100119"
120,"1380100120",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,120_BARANGAY 120,801_NCR IV,"80100120"
121,"1380100121",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,121_BARANGAY 121,801_NCR IV,"80100121"
122,"1380100122",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,122_BARANGAY 122,801_NCR IV,"80100122"
123,"1380100123",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,123_BARANGAY 123,801_NCR IV,"80100123"
124,"1380100124",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,124_BARANGAY 124,801_NCR IV,"80100124"
125,"1380100125",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,125_BARANGAY 125,801_NCR IV,"80100125"
126,"1380100126",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,126_BARANGAY 126,801_NCR IV,"80100126"
127,"1380100127",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,127_BARANGAY 127,801_NCR IV,"80100127"
128,"1380100128",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,128_BARANGAY 128,801_NCR IV,"80100128"
129,"1380100129",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,129_BARANGAY 129,801_NCR IV,"80100129"
130,"1380100130",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,130_BARANGAY 130,801_NCR IV,"80100130"
131,"1380100131",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,131_BARANGAY 131,801_NCR IV,"80100131"
132,"1380100132",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,132_BARANGAY 132,801_NCR IV,"80100132"
133,"1380100133",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,133_BARANGAY 133,801_NCR IV,"80100133"
134,"1380100134",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,134_BARANGAY 134,801_NCR IV,"80100134"
135,"1380100135",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,135_BARANGAY 135,801_NCR IV,"80100135"
136,"1380100136",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,136_BARANGAY 136,801_NCR IV,"80100136"
137,"1380100137",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,137_BARANGAY 137,801_NCR IV,"80100137"
138,"1380100138",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,138_BARANGAY 138,801_NCR IV,"80100138"
139,"1380100139",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,139_BARANGAY 139,801_NCR IV,"80100139"
140,"1380100140",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,140_BARANGAY 140,801_NCR IV,"80100140"
141,"1380100141",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,141_BARANGAY 141,801_NCR IV,"80100141"
142,"1380100142",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,142_BARANGAY 142,801_NCR IV,"80100142"
143,"1380100143",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,143_BARANGAY 143,801_NCR IV,"80100143"
144,"1380100144",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,144_BARANGAY 144,801_NCR IV,"80100144"
145,"1380100145",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,145_BARANGAY 145,801_NCR IV,"80100145"
146,"1380100146",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,146_BARANGAY 146,801_NCR IV,"80100146"
147,"1380100147",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,147_BARANGAY 147,801_NCR IV,"80100147"
148,"1380100148",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,148_BARANGAY 148,801_NCR IV,"80100148"
149,"1380100149",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,149_BARANGAY 149,801_NCR IV,"80100149"
150,"1380100150",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,150_BARANGAY 150,801_NCR IV,"80100150"
151,"1380100151",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,151_BARANGAY 151,801_NCR IV,"80100151"
152,"1380100152",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,152_BARANGAY 152,801_NCR IV,"80100152"
153,"1380100153",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,153_BARANGAY 153,801_NCR IV,"80100153"
154,"1380100154",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,154_BARANGAY 154,801_NCR IV,"80100154"
155,"1380100155",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,155_BARANGAY 155,801_NCR IV,"80100155"
156,"1380100156",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,156_BARANGAY 156,801_NCR IV,"80100156"
157,"1380100157",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,157_BARANGAY 157,801_NCR IV,"80100157"
158,"1380100158",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,158_BARANGAY 158,801_NCR IV,"80100158"
159,"1380100159",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,159_BARANGAY 159,801_NCR IV,"80100159"
160,"1380100160",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,160_BARANGAY 160,801_NCR IV,"80100160"
161,"1380100161",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,161_BARANGAY 161,801_NCR IV,"80100161"
162,"1380100162",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,162_BARANGAY 162,801_NCR IV,"80100162"
163,"1380100163",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,163_BARANGAY 163,801_NCR IV,"80100163"
164,"1380100164",13_NATIONAL CAPITAL REGION (NCR),801_CITY OF CALOOCAN,00_CITY OF CALOOCAN,164_BARANGAY 164,801_NCR IV,"80100164"
